Id,Name,State,Open,Close,License,Phone Number,Address
1,The Mucky Duck,MD,0900,2000,MD97865,262-438-108,7151 Rocky River St.
2,LUX,OR,1200,1900,OR63735,304-751-614,33 Roosevelt Street
3,Dead Man's Drink,MN,0800,1800,MN95187,319-730-509,641 Meadowbrook Drive
4,The Ragged Flagon,LA,1100,2100,LA10002,307-447-824,929 Heather Road
5,The Bannered Mare,NJ,1000,2000,NJ72978,303-425-231,88 Mayfield Dr.
6,LUX,WY,0800,2300,WY64037,276-706-327,77 Second Street
7,Copa,WI,0800,2000,WI94831,603-406-105,9399 East Dr.
8,Mama Chow's Fine Dining,HI,1000,2000,HI60274,240-703-243,72 Cottage Street
9,Poor Richard's,RI,0800,2100,RI94339,480-977-579,28 N. Wrangler St.
10,New Found Out,AK,1100,1900,AK20321,240-888-240,42 Front St.
11,O'Malley's,MO,1100,2000,MO24129,435-156-735,9564 Walt Whitman St.
12,Cocktails and Dreams,HI,1300,2100,HI11544,270-629-464,94 Oakwood St.
13,The Red Boot Pub,OR,0900,2000,OR18630,702-788-413,18 York Avenue
14,The Downy Pelican,AZ,0800,2300,AZ22248,803-828-551,428 Wrangler Street
15,The Siren,KS,1100,2300,KS41140,207-892-215,8929 Liberty St.
16,The Hip Joint,NM,1300,1800,NM82102,276-821-108,9989 Arnold St.
17,Bob's Country Bunker,UT,1100,1900,UT21146,270-931-142,8946 High Noon St.
18,The Bannered Mare,NC,1300,1800,NC71567,479-989-263,1 Saxon Ave.
19,The Silent Woman,AK,1300,1900,AK71940,605-124-371,83 Edgewater Street
20,Charlie's,MO,0800,2300,MO50113,339-361-550,345 Lincoln Lane
21,Mickey's,GA,0800,2200,GA21219,702-792-959,791 Rockaway Street
22,Porky's,IN,1300,2300,IN41836,219-391-110,910 West Grandrose Street
23,The Winchester Tavern,KY,1000,2200,KY55639,319-415-249,33 Roosevelt Street
24,The Malt Shovel,WV,1000,2100,WV91261,239-568-838,90 Cedar Swamp Lane
25,Inn of the Last Home,NM,1000,1800,NM69848,802-620-304,7824 Fremont Street
26,Rovers Return Inn,VA,1300,2000,VA99231,229-488-745,7051 Shub Farm St.
27,"Mos Eisley cantina, aka ""Chalmun's Cantina""",LA,0900,2200,LA30752,276-181-884,8847 Cross Ave.
28,Lucky Lockup,NC,1100,2000,NC25306,406-334-103,245 Pulaski Drive
29,Table Salt,AK,0900,1800,AK31043,212-645-260,870 Overlook Court
30,Meibeyer's,GA,0800,1800,GA40489,239-986-111,890 Poor House Lane
31,Gateway Inn,MI,0800,2100,MI15985,308-524-546,350 West Smith Lane
32,Mad Dog Saloon,AZ,0800,2300,AZ26779,503-167-201,8518 Shub Farm Drive
33,Trees Lounge,TX,0800,2000,TX43812,803-828-551,8649 Riverview Ave.
34,Seagrass,ND,1100,2000,ND37080,228-120-292,67 Pleasant Ave.
35,The Bloated Float Inn,AZ,1100,1800,AZ67276,802-781-134,57 Sutor St.
36,The Brick,NY,1300,1900,NY34175,205-118-749,791 Rockaway Street
37,The Intersection,ND,0900,1900,ND35087,303-425-231,593 S. Kirkland Ave.
38,Jenny's,NY,1200,2000,NY56283,605-927-863,750 Hill Field Street
39,Inn of the Last Home,ME,1300,2300,ME13693,435-844-268,207 Glenholme St.
40,Mystic Grill,IA,0800,2100,IA35340,212-240-106,7590 Goldfield Road
41,Palace Saloon,ID,1200,2200,ID20021,316-503-316,78 Mountainview Rd.
42,The King and Queen Tavern,HI,1100,1900,HI60513,808-485-244,18 Rockland Street
43,The Hip Joint,PA,1200,1900,PA25453,303-621-414,57 Ivy Lane
44,Charlie's,IA,1200,2300,IA19351,339-223-799,565 High Point St.
45,The Moonrakers,SD,1000,2300,SD13282,203-611-743,59 Fairway St.
46,O'Malley's,WI,1300,2100,WI66753,503-381-660,289 E. Queen St.
47,The Blue Oyster Bar,UT,1300,2100,UT26688,702-388-937,18 Charles St.
48,Palace Saloon,ME,1200,2000,ME21594,702-420-563,3 Longfellow Street
49,Milliway's,TN,1200,1900,TN81844,701-682-146,87 Creekside Rd.
50,Mystic Grill,MS,1100,1800,MS97950,208-755-432,28 N. Wrangler St.
51,Colonial Taphouse,WY,1100,2100,WY60958,252-374-529,898 Creek Ave.
52,Café René,HI,1000,1900,HI53644,308-982-812,8941C Leeton Ridge Street
53,Vardi's,AZ,1200,2100,AZ23314,276-821-108,641 County Ave.
54,Midnight Bell,MD,1100,2100,MD39015,605-927-863,8125 Pleasant Avenue
55,The Lizard's Head,IL,0900,1900,IL32378,303-209-601,15 Washington Dr.
56,Rick's Café Américain,MA,1200,2000,MA16738,503-818-954,53 W. Pheasant Dr.
57,The Mucky Duck,NV,0800,2100,NV18604,603-444-130,573 Alderwood Road
58,Cooper's,NM,0800,2200,NM51026,206-139-398,173 Clark St.
59,The Archer,IN,1000,2300,IN49472,210-779-147,20 South Southampton Road
60,Duke's Pub,MA,1300,1800,MA29561,316-862-383,701 East Mayflower Ave.
61,Cheers,HI,1200,2200,HI64288,303-643-371,460 Santa Clara Street
62,The Admiral Benbow Inn,GA,1000,2300,GA55570,205-118-749,59 Pierce Ave.
63,The Five Claws Lodge,KS,1300,2200,KS57180,907-510-782,298 Holly St.
64,Samoan Joe's,KY,1000,2200,KY90220,304-730-826,9430 Peninsula St.
65,The Moonrakers,CT,1100,2100,CT80161,276-749-543,8101 Fairground St.
66,The Bada Bing,MD,1300,2200,MD71518,215-696-563,8414 Wakehurst Ave.
67,Puzzles,PA,0900,2000,PA54163,209-574-108,8445 Andover Street
68,The Buck's Head Inn,AZ,1200,2000,AZ70949,207-892-215,229 S. Pumpkin Hill Ave.
69,The Venusville Bar,VA,1200,2200,VA89994,405-687-740,8846 W. Ridgewood St.
70,The Wicked Kiss,DE,0900,2200,DE74415,803-864-442,56 Piper Court
71,Glenister's,KY,1300,1900,KY73803,303-660-166,770 Academy Ave.
72,West Weald Inn,OH,1100,1900,OH63070,605-358-262,765 Amerige Drive
73,Palace Saloon,MI,1300,2100,MI30118,405-687-740,20 Indian Summer Avenue
74,The Butchers Arms,GA,1000,2200,GA41244,907-365-524,100 Philmont Street
75,West Weald Inn,ID,0900,1900,ID43863,701-682-146,90 Cedar Swamp Lane
76,The Flowers of Gold,WY,0900,2100,WY27978,239-785-318,9399 East Dr.
77,The Three Broomsticks,NM,1100,2000,NM41899,479-235-339,739 Bayport St.
78,Low Point,TX,1200,2100,TX99215,252-790-755,239 Selby St.
79,The Grey Mare,NH,1100,2300,NH93122,205-511-481,93 Joy Ridge St.
80,Cohan's,WY,1200,2200,WY94842,217-144-428,846 South Constitution Street
81,The Venusville Bar,OH,1100,2200,OH15244,215-504-401,144 E. Richardson Ave.
82,New York Bar,RI,0900,1800,RI97775,216-236-139,9 Colonial Street
83,The Lock,MD,0800,2300,MD32865,239-379-119,2 Sherman Court
84,The Rat in the Pot,AK,0900,2300,AK35891,203-278-172,7 Bradford St.
85,The Winchester Tavern,KS,1300,2300,KS35476,503-124-924,211 Magnolia Street
86,The Blue Parrot,OH,1200,2300,OH20189,212-525-519,20 School St.
87,Gaston's,ND,0900,2100,ND59339,217-201-296,7639 Brickell Rd.
88,The Peach Pit,MA,1300,2300,MA81009,210-779-147,12 Tallwood St.
89,Table Salt,SD,1200,2000,SD77882,303-793-186,33 Roosevelt Street
90,The Swan & Paedo,NC,1000,2300,NC82111,276-276-118,9082 St Margarets Ave.
91,The Third Rail,WI,1200,2100,WI35102,218-916-177,952 Wentworth Dr.
92,Inn of Ill Omen,NE,0800,1900,NE24712,210-334-314,15 Prince Ave.
93,The Earl Of Osbourne,SD,1000,2100,SD87723,231-528-434,17 St Louis Ave.
94,Levy's,PA,0900,1800,PA60402,239-717-277,89 Pacific Street
95,The Iron Horse,MA,1100,1900,MA52529,603-562-375,9337 Chestnut Ave.
96,Sleeping Giant Inn,MI,1000,2200,MI69382,203-863-435,7 NW. Gonzales Court
97,The Hand of Glory,VT,0900,1900,VT58955,503-767-481,37 Constitution Road
98,The Hanged Man,NY,1100,2200,NY91424,406-666-261,100 Philmont Street
99,The Rat in the Pot,CT,0900,2000,CT88823,423-222-364,445 Elmwood Lane
100,Volpe's,OH,1100,1800,OH51765,302-709-598,115 W. Lakeshore Drive
101,"Mos Eisley cantina, aka ""Chalmun's Cantina""",CT,0900,2100,CT33110,316-704-122,9 Green Hill Rd.
102,Dorsia,WI,0800,2100,WI84914,339-101-457,652 Pennsylvania St.
103,The Boar's Head,OK,1300,2000,OK59498,304-546-702,211 Magnolia Street
104,Weatherfield Arms,NM,1200,1900,NM81401,304-751-614,327 Hanover St.
105,The Bronze,FL,1000,2200,FL63123,603-810-938,7824 Fremont Street
106,Corrado Italian Bistro,NJ,1100,2100,NJ62740,262-438-108,573 Alderwood Road
107,The Lamb & Flag,WI,1000,2300,WI33318,262-414-448,762 Whitemarsh Ave.
108,Lusty Leopard,AR,1000,2300,AR36238,319-802-772,9704 South Ann Drive
109,The Winchester Club,MD,0800,2200,MD57596,239-379-119,7210 South Hawthorne Dr.
110,The Blue Oyster Bar,NM,1200,2300,NM42459,339-251-481,619 South Walnut St.
111,The Drowned Trout,WA,1100,2200,WA88969,228-354-915,135 North Street
112,St. Elmo's Bar,SC,1000,1800,SC34280,702-969-310,363 South Stillwater Dr.
113,The Brick,WY,0900,1800,WY74651,339-223-799,457 Talbot Court
114,Frostfruit Inn,NH,1100,2200,NH97369,231-696-934,17 St Louis Ave.
115,Elfsong Tavern,KY,1200,2200,KY57659,808-347-700,900 South Manhattan St.
116,Titty Twister,IL,1200,2200,IL99508,303-557-152,753 Dunbar Rd.
117,The Drunken Dragon Inn,NV,1100,2200,NV17961,405-140-416,68 Spring Dr.
118,Maccadam's Old Oil House,ID,0900,2300,ID91683,603-986-661,9624 Johnson Street
119,The Bang Bang Bar,IN,0900,2300,IN81851,308-852-385,9430 Peninsula St.
120,The Cap & Bell,MT,1100,2200,MT27079,701-650-166,38 North College Drive
121,Dog And Duck,SC,1200,2300,SC81864,205-635-478,77 Strawberry St.
122,The Boatman,WA,1200,2300,WA22246,225-390-612,532 San Juan St.
123,Inn of the Last Home,IN,0900,2100,IN70546,205-118-749,434 NW. Kent Street
