Id,Name
1,Boris
2,Fordham Dunkel Weiss
3,Engel Gold
4,Aass Juleol Premium
5,Lakeport Honey Lager
6,Drake's Expedition Ale
7,Hitachino Nest Weizen
8,Point Horizon Wheat
9,Smuttynose Wheat Wine
10,Miller High Life Light
11,Moosbacher Schwarze Weisse
12,Rogue Dry Hopped Saint Rogue Red Ale
13,Saint Arnold Brown Ale
14,Steamworks Summer Kolsch
15,Strongarm Ruby Red Ale
16,Tripel Karmeliet
17,Xingu Black Beer
18,Victoria Bitter
19,BridgePort India Pale Ale
20,Quail Springs India Pale Ale
21,Lakefront Bridge Burner
22,Capital Maibock
23,Capital Vintage Ale
24,St Peter's Wheat Ale
25,New Glarus Two Women New
26,Boddingtons Pub Ale
27,Sundance Amber Ale
28,SweetWater Summer Hummer
29,Widmer Snowplow Milk Stout
30,Full Sail IPA
31,Station House Red Ale
32,Hops Clearwater Light
33,Old Rasputin Russian Imperial Stout
34,Southern Pecan Brown ale
35,Abita Wheat
36,Abita Turbodog
37,Boulevard Unfiltered Wheat Beer
38,Old Milwaukee
39,River Rock Ale
40,Pinstripe Red Ale
41,Left Hand Polestar Pilsner
42,St-Ambroise Oatmeal Stout
43,Left Hand Black Jack Porter
44,Strong Suffolk Vintage Ale
45,Spaten Munchen Dunkel
46,Geary's Pale Ale
47,Fred
48,Tuppers' Hop Pocket Pils
49,Russian River Blind Pig IPA
50,New Glarus Spotted Cow Ale
