BillId,BarId,DrinkerId,TimeIssued,Item,Quantity,Price
1,149,45,1783,Tripel Karmeliet,2,6.22
1,149,45,1783,Dirty Shirley,2,25.02
2,169,422,1352,Hotdog,3,34.08
2,169,422,1352,New Glarus Spotted Cow Ale,3,8.13
2,169,422,1352,Moosbacher Schwarze Weisse,1,2.98
2,169,422,1352,Steamworks Summer Kolsch,3,16.56
2,169,422,1352,Smuttynose Wheat Wine,3,37.71
3,106,230,1547,Old Milwaukee,3,37.47
3,106,230,1547,Saint Arnold Brown Ale,3,15.54
3,106,230,1547,Rogue Dry Hopped Saint Rogue Red Ale,2,14.62
4,68,485,1342,Xingu Black Beer,1,8.67
4,68,485,1342,Pepsi,2,5.2
5,13,118,1655,Xingu Black Beer,1,8.44
6,83,94,950,Water,2,12.46
7,20,330,1315,Pinstripe Red Ale,3,27.54
7,20,330,1315,Left Hand Polestar Pilsner,3,17.97
7,20,330,1315,Ice Tea,2,5.84
7,20,330,1315,Water,2,13.86
8,124,198,1546,Wings,1,12.39
9,162,370,1730,Cheesburger,2,7.1
10,19,352,1747,Cheesburger,3,9.39
10,19,352,1747,SweetWater Summer Hummer,1,2.95
10,19,352,1747,Wings,1,12.54
10,19,352,1747,New Glarus Spotted Cow Ale,2,5.52
10,19,352,1747,Coke,2,13.26
11,31,107,927,Pinstripe Red Ale,3,28.05
11,31,107,927,Dirty Shirley,2,25.44
11,31,107,927,Hotdog,3,35.49
12,4,314,1208,Wings,2,25.78
13,145,193,1366,Left Hand Black Jack Porter,2,4.92
13,145,193,1366,Water,1,7.0
13,145,193,1366,Hotdog,1,11.42
13,145,193,1366,Smuttynose Wheat Wine,3,36.36
14,36,216,1755,Boris,2,20.84
14,36,216,1755,Fries,2,21.0
15,211,36,1835,Fried Chocolate Tarantula,3,26.43
16,239,140,1318,Ice Tea,2,4.12
17,21,274,1113,Water,2,12.1
18,56,259,1289,Drake's Expedition Ale,2,10.6
18,56,259,1289,Strong Suffolk Vintage Ale,3,24.39
18,56,259,1289,Fries,2,20.0
18,56,259,1289,Pepsi,3,7.95
18,56,259,1289,Old Rasputin Russian Imperial Stout,1,4.97
19,177,425,1124,Capital Maibock,1,10.25
19,177,425,1124,Point Horizon Wheat,3,33.81
19,177,425,1124,Pepsi,2,5.16
19,177,425,1124,Ice Tea,1,2.81
20,206,445,1307,Boddingtons Pub Ale,3,20.58
20,206,445,1307,Fried Chocolate Tarantula,3,24.54
21,165,364,1212,Hotdog,1,11.87
21,165,364,1212,Spaten Munchen Dunkel,2,8.24
21,165,364,1212,Pepsi,1,2.25
22,164,221,1637,Pinstripe Red Ale,1,9.16
22,164,221,1637,Wings,1,12.72
23,185,236,1772,Miller High Life Light,1,5.08
23,185,236,1772,Dirty Shirley,1,12.28
24,2,81,1463,Full Sail IPA,3,30.09
25,210,113,2064,Full Sail IPA,2,21.36
25,210,113,2064,Water,3,19.68
25,210,113,2064,Wings,2,25.78
25,210,113,2064,Russian River Blind Pig IPA,3,7.56
26,78,371,1210,Station House Red Ale,1,9.91
27,61,107,2021,New Glarus Two Women New,1,11.79
27,61,107,2021,Hotdog,1,11.97
27,61,107,2021,Cheesburger,2,6.88
27,61,107,2021,Fries,3,31.35
28,62,152,2177,Capital Maibock,3,30.15
29,116,489,1852,Station House Red Ale,3,27.6
30,168,303,933,Hotdog,2,22.92
31,217,10,1847,Abita Turbodog,3,33.12
31,217,10,1847,Full Sail IPA,1,10.45
31,217,10,1847,Wings,2,24.5
31,217,10,1847,Ice Tea,3,7.44
31,217,10,1847,Fred,1,9.14
32,88,410,1732,Tripel Karmeliet,2,6.54
32,88,410,1732,Hotdog,3,33.87
33,189,411,1451,Capital Maibock,3,32.01
33,189,411,1451,Pepsi,1,2.94
34,26,455,1640,Fried Chocolate Tarantula,1,8.51
35,49,234,1857,Fried Chocolate Tarantula,3,24.42
35,49,234,1857,Ice Tea,2,5.02
37,132,100,1402,Russian River Blind Pig IPA,1,2.11
38,147,41,1463,Wings,1,12.23
38,147,41,1463,Water,3,18.39
38,147,41,1463,Tuppers' Hop Pocket Pils,2,15.82
39,241,326,1908,Water,2,13.56
39,241,326,1908,Sundance Amber Ale,3,18.57
40,40,280,862,Fried Chocolate Tarantula,3,24.96
40,40,280,862,Point Horizon Wheat,2,22.78
40,40,280,862,Ice Tea,3,6.78
40,40,280,862,Moosbacher Schwarze Weisse,1,2.34
41,56,394,1921,Old Rasputin Russian Imperial Stout,3,14.91
41,56,394,1921,Fries,1,10.0
41,56,394,1921,Pepsi,2,5.3
41,56,394,1921,Drake's Expedition Ale,2,10.6
41,56,394,1921,Strong Suffolk Vintage Ale,3,24.39
42,57,339,1489,Hops Clearwater Light,2,7.26
43,78,426,1677,Station House Red Ale,1,9.91
44,94,448,1691,Hotdog,3,35.91
45,135,102,2147,Fried Chocolate Tarantula,2,16.94
46,239,322,1695,Ice Tea,3,6.18
46,239,322,1695,Station House Red Ale,3,27.3
46,239,322,1695,Boddingtons Pub Ale,2,12.7
