Id,BarName,Name,Price
46,"The Horse & Groom, Cottington",Old Milwaukee,2.21
49,The Red Pony,Widmer Snowplow Milk Stout,2.64
136,Dal Riata,Fordham Dunkel Weiss,2.45
87,The Rose & Crown,Drake's Expedition Ale,2.27
117,The Snug,Russian River Blind Pig IPA,2.09
129,"The Horse & Groom, Cottington",Moosbacher Schwarze Weisse,2.02
105,The Boatman,Capital Vintage Ale,2.35
68,Charlie's,Rogue Dry Hopped Saint Rogue Red Ale,2.82
66,World's End Tavern,Hops Clearwater Light,2.21
141,Charlie's,SweetWater Summer Hummer,2.24
99,Cohan's,SweetWater Summer Hummer,2.27
54,Salieri's Bar,Old Milwaukee,2.75
18,The Dog and Dart,Strongarm Ruby Red Ale,2.52
13,Merlotte's Bar and Grill,Lakefront Bridge Burner,2.66
32,John McRory's Place,Fred,2.39
132,The Learned Goat,St Peter's Wheat Ale,2.51
21,The Oblivion Bar,New Glarus Spotted Cow Ale,2.08
33,Rowlf's Tavern,Tripel Karmeliet,2.77
14,The Gold Room at the Overlook Hotel,Strong Suffolk Vintage Ale,2.86
111,Tabard,Boris,2.35
117,The Snug,Widmer Snowplow Milk Stout,2.9
132,The Learned Goat,Left Hand Polestar Pilsner,2.67
82,Trees Lounge,Left Hand Black Jack Porter,2.07
14,The Gold Room at the Overlook Hotel,Pinstripe Red Ale,2.17
68,Charlie's,Point Horizon Wheat,2.25
104,Puzzles,Old Rasputin Russian Imperial Stout,2.87
136,Dal Riata,Point Horizon Wheat,2.8
133,Maxwell's Nightclub,Victoria Bitter,2.78
29,The White Swan,New Glarus Two Women New,2.2
25,The Lord Nelson,Boulevard Unfiltered Wheat Beer,2.3
10,Kennedy's,Boulevard Unfiltered Wheat Beer,2.59
10,Kennedy's,Capital Maibock,2.47
70,Cheers,Engel Gold,2.17
72,The Wicked Kiss,Strongarm Ruby Red Ale,2.18
25,The Lord Nelson,Engel Gold,2.64
133,Maxwell's Nightclub,Tuppers' Hop Pocket Pils,2.09
10,Kennedy's,Victoria Bitter,2.43
10,Kennedy's,Engel Gold,2.57
139,The Lamb & Flag,Strongarm Ruby Red Ale,2.05
139,The Lamb & Flag,Old Milwaukee,2.55
79,The Goat,Capital Vintage Ale,2.42
43,Romanoff's,Tuppers' Hop Pocket Pils,2.94
130,The Blue Parrot,Old Milwaukee,2.78
17,Milk,Point Horizon Wheat,2.12
14,The Gold Room at the Overlook Hotel,Southern Pecan Brown ale,2.23
150,The White Swan,St Peter's Wheat Ale,2.89
106,The Grey Mare,Engel Gold,2.12
119,Vesuvio,Xingu Black Beer,2.7
11,The Armada Room,Miller High Life Light,2.46
26,The Dog and Dart,St Peter's Wheat Ale,2.87
122,Archie Bunker's Place,Moosbacher Schwarze Weisse,2.61
61,The Ballroom,Saint Arnold Brown Ale,2.15
124,Gallow's End Tavern,Boris,2.03
141,Charlie's,Drake's Expedition Ale,2.18
23,The Winchester Club,Capital Maibock,2.25
40,The Globe and Anchor,Quail Springs India Pale Ale,2.59
112,Caf̩ Ren̩,New Glarus Two Women New,2.18
28,Chatsubo,Boulevard Unfiltered Wheat Beer,2.06
14,The Gold Room at the Overlook Hotel,Miller High Life Light,2.39
94,Kavanagh's Irish Pub,Moosbacher Schwarze Weisse,2.58
13,Merlotte's Bar and Grill,SweetWater Summer Hummer,2.03
86,The Prancing Pony,Smuttynose Wheat Wine,2.25
85,O'Malley's Bar,Boddingtons Pub Ale,2
55,Tavern of Time,Southern Pecan Brown ale,2.11
120,Quark's,Fred,2.16
71,The Blue Oyster Bar,Spaten Munchen Dunkel,2.56
69,The Red Boot Pub,River Rock Ale,2.66
106,The Grey Mare,Spaten Munchen Dunkel,2.42
15,The Broken Stool,Strong Suffolk Vintage Ale,2.15
135,Milliway's,Old Milwaukee,2.61
3,Friendsy's,Widmer Snowplow Milk Stout,2.36
40,The Globe and Anchor,Fred,2.34
103,Palace Saloon,Boulevard Unfiltered Wheat Beer,2.15
1,Milliway's,New Glarus Spotted Cow Ale,2.92
51,The Brass Lantern,Rogue Dry Hopped Saint Rogue Red Ale,2.86
53,Trees Lounge,Hops Clearwater Light,2.12
91,Dorsia,Miller High Life Light,2.55
108,The Admiral Benbow Inn,River Rock Ale,2.28
123,The Smack,Widmer Snowplow Milk Stout,2.15
68,Charlie's,Quail Springs India Pale Ale,2.76
69,The Red Boot Pub,Boris,2.46
133,Maxwell's Nightclub,Left Hand Black Jack Porter,2.57
76,Bunnys,Hops Clearwater Light,2.52
53,Trees Lounge,Widmer Snowplow Milk Stout,2.1
144,Tavern,Miller High Life Light,2.78
106,The Grey Mare,Abita Wheat,2.58
63,The George III,Left Hand Black Jack Porter,2.09
19,Flanagan's Cocktails & Dreams,Full Sail IPA,2.38
7,The Punch Tavern,Boulevard Unfiltered Wheat Beer,2.1
28,Chatsubo,St Peter's Wheat Ale,2.79
69,The Red Boot Pub,St Peter's Wheat Ale,2.56
108,The Admiral Benbow Inn,Southern Pecan Brown ale,2.48
4,Daddy Crab Leg's Crab Shack,Moosbacher Schwarze Weisse,2.51
50,The Last Resort,Boris,2.27
38,MacLaren's,Sundance Amber Ale,2.56
82,Trees Lounge,Abita Wheat,2.29
116,Four Shields Tavern,Steamworks Summer Kolsch,2.36
