Id,BarName,Name,Price
196,The Six Jolly Fellowship Porters,Cheesburger,6.08
72,The Leaky Cauldron,Coke,4.83
21,The Lamb & Flag,Wings,4.77
197,The Broken Drum/The Mended Drum,Coke,4.88
81,Midnight Bell,Dirty Shirley,11.63
176,"Mos Eisley cantina, aka ""Chalmun's Cantina""",Fried Chocolate Tarantula,9.84
202,SaxonwoldShebeen,Water,5.64
8,The Rose & Crown,Wings,4.79
12,The Lizard's Head,Fried Chocolate Tarantula,9.88
1,Brady Pub,Fried Chocolate Tarantula,9.43
216,The Bronze,Dirty Shirley,11.87
249,The Count's Arms,Fried Chocolate Tarantula,9.84
124,The Raven,Ice Tea,9.24
106,The Frozen Hearth,Hotdog,2.39
62,Greely's,Wings,4.38
9,Boobies,Wings,4.32
109,John McRory's Place,Coke,4.78
64,Kelcy's,Fried Chocolate Tarantula,9.73
138,The Slaughtered Lamb,Hotdog,2.16
156,The Ballroom,Wings,4.2
184,The Admiral Benbow Inn,Fries,4.2
90,The Angler's Rest,Hotdog,2.03
169,Jenny's,Fries,2.03
74,The Iron Horse,Water,5.35
188,Fool and Bladder,Wings,4.77
196,The Six Jolly Fellowship Porters,Fries,4.77
130,Milk,Fried Chocolate Tarantula,9.91
206,Table Salt,Coke,4.68
186,The Bloated Float Inn,Hotdog,2.76
214,Silver-Blood Inn,Coke,4.39
162,Cocktails and Dreams,Pepsi,6.04
248,Munden's Bar,Dirty Shirley,11.86
33,Salieri's Bar,Hotdog,2.36
61,Munden's Bar,Cheesburger,6.85
235,Central Perk,Coke,4.37
219,The Jockey,Wings,4.48
1,Brady Pub,Fried Chocolate Tarantula,9.79
228,Bo Ling Chop Suey Palace,Wings,4.56
19,Club Obi Wan,Hotdog,2.77
123,The Grind & Jolt Cafe,Wings,4.76
142,Milliway's,Hotdog,2.33
194,Cooper's,Ice Tea,9.48
136,The Rat in the Pot,Wings,4.39
216,The Bronze,Water,5.22
64,Kelcy's,Hotdog,2.19
110,The Grind & Jolt Cafe,Coke,4.5
23,Dino's Bar and Grill,Coke,4.9
243,The Globe and Anchor,Coke,4.3
214,Silver-Blood Inn,Water,5.38
18,The George III,Coke,4.73
123,The Grind & Jolt Cafe,Wings,4.93
61,Munden's Bar,Wings,4.81
42,McGinty's,Cheesburger,6.99
95,O'Malley's,Ice Tea,9.25
131,Free the Paedos,Water,5.59
117,Elfsong Tavern,Fried Chocolate Tarantula,9.27
89,Bodarks Bus Stop Restaurant,Cheesburger,6.37
165,Talon,Wings,4.92
170,O'Malley's,Coke,4.95
76,Low Point,Cheesburger,6.01
86,Porky's,Pepsi,6.97
14,The Vulgar Unicorn,Hotdog,2.97
96,The Blue Oyster Bar,Dirty Shirley,11.77
138,The Slaughtered Lamb,Hotdog,2.59
82,Bellefleur's Bar and Grill,Wings,4.74
174,The Rusty Anchor,Pepsi,6.15
169,Jenny's,Cheesburger,6.32
249,The Count's Arms,Wings,4.48
86,Porky's,Ice Tea,9.36
197,The Broken Drum/The Mended Drum,Wings,4.91
10,Ten Forward,Water,5.91
177,Gaston's,Dirty Shirley,11.87
243,The Globe and Anchor,Ice Tea,9.94
41,Dino's Bar and Grill,Hotdog,2.5
120,Club Sugar Ray,Wings,4.95
178,The Grapes,Cheesburger,6.76
185,The Rusty Anchor,Water,5.13
64,Kelcy's,Coke,4.98
119,The Learned Goat,Fried Chocolate Tarantula,9.32
172,Central Perk,Fried Chocolate Tarantula,9.34
69,The Crab Shed,Cheesburger,6.97
203,Ten Forward,Fries,6.97
81,Midnight Bell,Fried Chocolate Tarantula,9.87
2,The Bannered Mare,Fries,9.87
105,The George III,Hotdog,2.42
201,Bob's Country Bunker,Ice Tea,9.11
184,The Admiral Benbow Inn,Hotdog,2.67
175,Mystic Grill,Coke,4.44
27,The Loft,Ice Tea,9.6
104,Cockatoo Inn,Water,5.89
81,Midnight Bell,Wings,5.0
164,The Oak and Crosier,Wings,4.26
79,Essence,Water,5.71
121,The Drunken Dragon Inn,Wings,4.7
223,The White Hart,Fried Chocolate Tarantula,9.26
98,The Crazy Horse,Wings,4.74
110,The Grind & Jolt Cafe,Cheesburger,6.98
205,The Grasshopper,Pepsi,6.88
122,The Bigger Jigger,Hotdog,2.29
225,The Mucky Duck,Wings,4.11
215,The Tropicana,Coke,4.25
171,Milliway's,Coke,4.66
102,The White Hart,Dirty Shirley,11.04
223,The White Hart,Ice Tea,9.72
177,Gaston's,Water,5.69
148,McGinty's,Fried Chocolate Tarantula,9.57
203,Ten Forward,Water,5.45
243,The Globe and Anchor,Hotdog,2.02
120,Club Sugar Ray,Ice Tea,9.34
219,The Jockey,Water,5.97
35,Salty Sailor Tavern,Fries,5.97
58,The Kebab & Calculator,Water,5.55
77,Table Salt,Water,5.28
31,Cooper's,Pepsi,6.17
241,The Slaughtered Prince,Water,5.97
119,The Learned Goat,Wings,4.63
222,The Angler's Rest,Coke,4.36
173,Kadie's Club Pecos,Wings,4.65
107,Romanoff's,Wings,4.91
205,The Grasshopper,Ice Tea,9.2
235,Central Perk,Fries,9.2
11,Deville,Dirty Shirley,11.44
30,Kennedy's,Fries,11.44
34,The Admiral Benbow Inn,Hotdog,2.41
180,The Dog and Partridge,Coke,4.75
169,Jenny's,Hotdog,2.25
129,The Maidenhead,Cheesburger,6.7
48,Playaz Club,Coke,4.82
96,The Blue Oyster Bar,Wings,4.28
47,Mickey Finn's Palace,Wings,4.38
120,Club Sugar Ray,Fries,4.38
102,The White Hart,Ice Tea,9.66
107,Romanoff's,Fried Chocolate Tarantula,9.25
196,The Six Jolly Fellowship Porters,Dirty Shirley,11.14
25,The Swan & Paedo,Fried Chocolate Tarantula,9.49
140,The Eolian - The Kingkiller Chronicle,Pepsi,6.36
52,Night Spot,Ice Tea,9.95
68,The Ink & Paint Club,Cheesburger,6.01
43,Fortune Casino,Fries,6.01
129,The Maidenhead,Fried Chocolate Tarantula,9.98
101,The Railway Arms,Dirty Shirley,11.46
27,The Loft,Fries,11.46
131,Free the Paedos,Dirty Shirley,11.88
18,The George III,Ice Tea,9.13
205,The Grasshopper,Dirty Shirley,11.64
106,The Frozen Hearth,Hotdog,2.62
29,West Weald Inn,Water,5.8
82,Bellefleur's Bar and Grill,Pepsi,6.47
161,The Siren,Fried Chocolate Tarantula,9.83
130,Milk,Fries,9.83
228,Bo Ling Chop Suey Palace,Fried Chocolate Tarantula,9.97
123,The Grind & Jolt Cafe,Cheesburger,6.07
179,St. Elmo's Bar,Cheesburger,6.75
126,Fangtasia,Fries,6.75
49,Bodarks Bus Stop Restaurant,Water,5.19
218,The Lost Lady Saloon,Dirty Shirley,11.99
149,The Rabennest,Hotdog,2.7
152,Sleeping Giant Inn,Coke,4.14
8,The Rose & Crown,Pepsi,6.92
94,The Bang Bang Bar,Coke,4.02
239,The Drunken Clam,Water,5.58
188,Fool and Bladder,Fries,5.58
196,The Six Jolly Fellowship Porters,Dirty Shirley,11.48
106,The Frozen Hearth,Fried Chocolate Tarantula,9.91
185,The Rusty Anchor,Wings,4.47
118,"The Hand & Racquet, East Cheam",Coke,4.31
220,Founding Fathers,Cheesburger,6.34
38,The Blue Oyster Bar,Coke,4.39
30,Kennedy's,Water,5.77
159,SU Bar,Water,5.68
50,The Bull,Fries,5.68
61,Munden's Bar,Cheesburger,6.41
144,The Lord Nelson,Ice Tea,9.25
191,The Lord Nelson,Hotdog,2.48
177,Gaston's,Ice Tea,9.23
120,Club Sugar Ray,Pepsi,6.05
50,The Bull,Fries,6.05
20,The Flowers of Gold,Coke,4.48
55,The Golden Perch,Hotdog,2.1
141,The King and Queen Tavern,Ice Tea,9.01
111,Bodarks Bus Stop Restaurant,Pepsi,6.45
59,The Cap & Bell,Coke,4.1
68,The Ink & Paint Club,Cheesburger,6.02
242,The Flying Horse,Coke,4.3
65,Seagrass,Pepsi,6.06
188,Fool and Bladder,Fried Chocolate Tarantula,9.95
123,The Grind & Jolt Cafe,Water,5.21
46,MacLaren's Pub,Hotdog,2.1
66,The Rose & Thorn,Wings,4.69
43,Fortune Casino,Water,5.52
