tid,BarId,DrinkerId,SubTotal,Tax,Tip,Total
1,149,45,25.02,1.75,5.0,31.77
2,169,422,37.71,2.64,7.54,47.89
3,106,230,14.62,1.02,2.92,18.56
4,68,485,5.2,0.36,1.04,6.6
5,13,118,8.44,0.59,1.69,10.72
6,83,94,12.46,0.87,2.49,15.82
7,20,330,13.86,0.97,2.77,17.6
8,124,198,12.39,0.87,2.48,15.74
9,162,370,7.1,0.5,1.42,9.02
10,19,352,13.26,0.93,2.65,16.84
11,31,107,35.49,2.48,7.1,45.07
12,4,314,25.78,1.8,5.16,32.74
13,145,193,36.36,2.55,7.27,46.18
14,36,216,21.0,1.47,4.2,26.67
15,211,36,26.43,1.85,5.29,33.57
16,239,140,4.12,0.29,0.82,5.23
17,21,274,12.1,0.85,2.42,15.37
18,56,259,4.97,0.35,0.99,6.31
19,177,425,2.81,0.2,0.56,3.57
20,206,445,24.54,1.72,4.91,31.17
21,165,364,2.25,0.16,0.45,2.86
22,164,221,12.72,0.89,2.54,16.15
23,185,236,12.28,0.86,2.46,15.6
24,2,81,30.09,2.11,6.02,38.22
25,210,113,7.56,0.53,1.51,9.6
26,78,371,9.91,0.69,1.98,12.58
27,61,107,31.35,2.19,6.27,39.81
28,62,152,30.15,2.11,6.03,38.29
29,116,489,27.6,1.93,5.52,35.05
30,168,303,22.92,1.6,4.58,29.1
31,217,10,9.14,0.64,1.83,11.61
32,88,410,33.87,2.37,6.77,43.01
33,189,411,2.94,0.21,0.59,3.74
34,26,455,8.51,0.6,1.7,10.81
35,49,234,5.02,0.35,1.0,6.37
36,132,100,2.11,0.15,0.42,2.68
37,147,41,15.82,1.11,3.16,20.09
38,241,326,18.57,1.3,3.71,23.58
39,40,280,2.34,0.16,0.47,2.97
40,56,394,24.39,1.71,4.88,30.98
41,57,339,7.26,0.51,1.45,9.22
42,78,426,9.91,0.69,1.98,12.58
43,94,448,35.91,2.51,7.18,45.6
44,135,102,16.94,1.19,3.39,21.52
45,239,322,12.7,0.89,2.54,16.13
46,55,64,25.38,1.78,5.08,32.24
47,88,165,5.14,0.36,1.03,6.53
48,156,325,6.08,0.43,1.22,7.73
